term,label,confidence
pollution global,strong related,0.6656
warming says,strong related,0.3601
rain floods,strong related,0.3601
warming emissions,strong related,0.7646
global deforestation,strong related,0.9043
heat wave,strong related,0.7407
climatology,strong related,0.6656
fracking depleting,strong related,0.3544
shifts rainfall,strong related,0.6753
climate extremes,strong related,1
effect climate,strong related,0.6826
thanks fracking,strong related,0.3544
warming caused,strong related,0.6914
tackle climate,strong related,1
acid rain,strong related,0.66
change climate,strong related,0.757
shale,strong related,0.5295
gas emissions,strong related,0.6364
manage fracking,strong related,0.3636
weather extremes,strong related,0.7537
world global,strong related,0.3467
deforestation dengue,strong related,0.6602
mitigate climate,strong related,1
trapped sea,strong related,0.3555
carbon emissions,strong related,0.6399
fight deforestation,strong related,1
climate,strong related,0.6399
melting sea,strong related,0.5321
water scarcity,strong related,0.6712
global carbon,strong related,0.9233
heat extremes,strong related,1
effect global,strong related,0.6777
permafrost,strong related,0.6933
geoengineering climate,strong related,0.7955
degrees flood,strong related,0.6627
solar,strong related,1
mass extinction,strong related,0.3412
gas methane,strong related,0.6749
rising sea,strong related,0.5587
ozone hole,strong related,0.7731
global,strong related,1
companies caused,strong related,0.36
climate weather,strong related,0.6883
clean water,strong related,0.3595
fracking projects,strong related,0.6619
emissions reduction,strong related,1
water pollution,strong related,1
warming double,strong related,1
warming temperatures,strong related,0.7999
loss arctic,strong related,0.6593
water climate,strong related,0.6722
rain storms,strong related,0.6385
deforestation,strong related,0.6933
predictable extinction,strong related,0.6649
global extinction,strong related,1
disprove global,strong related,0.6582
promote renewable,strong related,1
drilling,strong related,0.35
warming arctic,strong related,1
renewable energy,strong related,0.6628
extreme weather,strong related,0.3484
warming climate,strong related,1
globalwarming,strong related,1
warming pollution,strong related,0.65
gassy cows,strong related,0.6929
warming criers,strong related,0.351
gas climate,strong related,0.64
carbon tax,strong related,0.3387
ice caps,strong related,0.6788
ipcc climate,strong related,0.6543
extremes solar,strong related,1
polar ice,strong related,0.6582
prevent methane,strong related,0.6407
climate benefits,strong related,1
preventing extinction,strong related,0.6553
deforestation global,strong related,1
blame global,strong related,1
warming impact,strong related,1
carbon offset,strong related,0.6455
emissions,strong related,0.6729
carbon pollution,strong related,0.6745
greenhouse gases,strong related,0.6832
warming extreme,strong related,1
air pollution,strong related,0.664
geoengineering could,strong related,1
ecowatch,strong related,0.693
warming effect,strong related,1
greenhouse effect,strong related,0.6933
climate impact,strong related,1
change extreme,strong related,0.6405
ghg climate,strong related,1
curb climate,strong related,0.6668
cause warming,strong related,1
melting ice,strong related,0.6667
warming means,strong related,1
extremes consistent,strong related,0.6929
reduce methane,strong related,1
climate already,strong related,0.3446
renewable,strong related,0.677
warming winter,strong related,0.693
fossil fuel,strong related,0.6875
storm climate,strong related,1
air quality,strong related,0.6914
storm warming,strong related,0.6832
global sea,strong related,0.6572
look climate,strong related,0.6311
reduce greenhouse,strong related,1
methane emissions,strong related,0.6875
fracking pollution,strong related,0.6667
climate energy,strong related,1
emissions climate,strong related,1
breed climate,strong related,0.6667
activity,strong related,0.35
global climate,strong related,1
weather climate,strong related,1
weather global,strong related,1
global forest,strong related,0.6407
global warming,strong related,1
global greenhouse,strong related,0.6885
linked deforestation,strong related,1
ozone layer,strong related,1
fight climate,strong related,0.6829
drought emergency,strong related,0.6456
reduce carbon,strong related,0.65
climate concern,strong related,1
greenhouse gas,strong related,1
warming carbon,strong related,1
reefs deforestation,strong related,0.68
pollution,strong related,0.6707
rise climate,strong related,0.6605
warming pause,strong related,1
ice climate,strong related,0.6923
deforestation climate,strong related,1
levels methane,strong related,0.6407
climate scientists,strong related,0.6538
natural gas,strong related,0.3453
climate science,strong related,1
pollution cause,strong related,0.6777
dengue climate,strong related,0.3484
global weather,strong related,1
compensate climate,strong related,0.6784
rainfall warming,strong related,0.6677
climate pollution,strong related,1
save world,strong related,0.6769
warming warning,strong related,1
hole ozone,strong related,1
warming times,strong related,0.3412
rain climate,strong related,0.6538
fight global,strong related,0.3446
climatechange,strong related,0.7898
extremes climate,strong related,1
warming real,strong related,0.6625
contribute global,strong related,0.73
ozone pollution,strong related,1
change weather,strong related,0.6524
warming fanatics,strong related,0.6757
geoengineering weather,strong related,1
warming planet,strong related,1
floods drought,strong related,1
environmental,strong related,1
ice cover,strong related,0.6618
geoengineering,strong related,0.6407
tax climate,strong related,0.6933
melting dramatic,strong related,0.6489
greenhouse,strong related,0.6543
dioxide emissions,strong related,0.6364
negate climate,strong related,0.3491
weather patterns,strong related,1
climate carbon,strong related,1
pollution overwhelmingly,strong related,0.6407
carbon,strong related,1
calls climate,strong related,0.3446
freshwater ecosystems,strong related,0.693
change human,strong related,0.3512
warming,strong related,0.7396
destruction,strong related,0.6488
dead climate,strong related,0.6405
warming may,strong related,0.6842
global temperature,strong related,1
ozone,strong related,1
change deniers,strong related,0.3467
warmer,strong related,0.3387
cleanair fracking,strong related,0.36
sea level,strong related,0.6875
climate variability,strong related,1
weather,strong related,0.6749
climate effect,strong related,1
carbon cuts,strong related,1
slow global,strong related,0.655
worsen pollution,strong related,1
impact climate,strong related,1
climate change,strong related,1
gas exports,strong related,0.3415
deforestation tracking,related,0.3535
change earth,related,0.5286
cows warming,related,0.6826
forest watch,related,1
torrential rain,related,0.6826
humidity,related,0.6456
methane,related,0.3555
tropical storm,related,0.6445
contamination fracking,related,0.5892
change coral,related,1
snow storm,related,0.6914
thought climate,related,0.677
oil linked,related,0.6489
fracking despite,related,0.7764
net climate,related,0.5664
back fracking,related,0.7068
shalegas,related,0.6753
temperatures could,related,0.6914
leaks,related,0.6826
water contamination,related,0.5774
wind pressure,related,1
damage,related,0.7427
natural las,related,0.6657
cleanair,related,0.6399
vapor,related,0.6832
floods support,related,1
freezing weather,related,1
warming sea,related,0.6364
may increase,related,0.6454
water fuel,related,0.7576
logging,related,0.3636
temperature rise,related,1
disappearing,related,0.6667
mercury,related,0.5117
seeing highest,related,0.6667
deforestation via,related,0.6736
methane water,related,0.7191
drought,related,0.5
water management,related,0.612
gas harvesting,related,0.6575
water vapor,related,0.6826
fuel fracking,related,0.3738
frackoff,related,0.6826
drought fracking,related,0.6445
ice age,related,0.35
fossil,related,1
coast,related,0.6826
responsible global,related,0.3555
jet stream,related,0.5117
disaster,related,0.6803
says climate,related,0.3601
fracking uses,related,0.6656
tracking global,related,0.7123
fracking tax,related,0.6914
reduce global,related,0.6729
responses climate,related,0.7714
protect water,related,1
humans responsible,related,0.3784
extraction,related,0.6914
fracking get,related,0.3425
heavy rain,related,0.6883
air,related,0.6656
pay fracking,related,1
warming weather,related,0.5443
pollution oil,related,0.7681
global oil,related,0.6883
penguins forced,related,0.6835
carbon pricing,related,0.4694
rain,related,1
extinction via,related,0.677
stop global,related,1
ocean,related,1
carbon footprint,related,0.6826
ice melt,related,0.6364
lead extinction,related,0.65
linked fracking,related,0.3593
melting,related,0.5748
ice,related,0.6835
emissions fracking,related,0.6316
increase despite,related,0.7639
climate central,related,0.693
efforts,related,0.6933
wildfires,related,1
extinction risks,related,0.6992
conservation,related,0.6582
heat,related,0.693
causing weather,related,0.6636
economic,related,0.7177
change drought,related,1
scientists say,related,0.5373
arctic ice,related,0.6516
warming hiatus,related,0.67
change real,related,0.6677
areas report,related,0.7021
human extinction,related,0.65
ice loss,related,0.3593
gas fracking,related,0.6763
winter storm,related,0.6933
fracking natural,related,1
rain forest,related,0.6627
safe water,related,0.6667
environment,related,0.6636
storms floods,related,0.6741
gas wells,related,1
tell epa,related,0.67
scarcity,related,0.6749
illegal logging,related,0.6832
vs methane,related,0.65
water,related,0.6719
change,related,0.351
potable,related,0.706
change carbon,related,0.679
power plants,related,0.6719
rainfall,related,1
fracking firms,related,0.6795
cause extinction,related,1
pollution climate,related,0.3395
water epa,related,0.65
winter,related,0.4961
temperature change,related,0.6558
sustainability,related,0.6719
produce,related,0.6543
hit record,related,0.67
increase methane,related,0.68
report climate,related,0.693
confirm water,related,0.6835
cold,related,0.6106
extinction listing,related,0.6788
monitoring system,related,0.67
policy,related,0.3593
change sea,related,0.6572
depleting water,related,0.6582
fracking boom,related,0.6818
increase,related,0.5011
reforestation,related,0.675
dioxide,related,1
dioxide levels,related,0.64
february climate,related,0.6636
greenpeace scientific,related,0.6753
human health,related,0.3432
says fracking,related,1
season,related,0.655
breaks fracking,related,0.36
fracking shale,related,0.6524
water drought,related,0.701
change rain,related,1
ecowatch via,related,0.65
oil gas,related,1
endangered,related,0.6636
potential,related,1
methane fracking,related,0.6818
new research,related,0.7219
global average,related,0.65
average,related,0.6933
epa reopen,related,0.3453
cracks methane,related,0.6968
impact environment,related,0.5133
freezing,related,1
change report,related,0.693
via cleanair,related,0.6693
floods,related,0.6582
gas industry,related,1
fracking emissions,related,1
ban fracking,related,0.6818
forecast,related,1
highest sea,related,0.501
torrential,related,1
pole,related,0.6449
tropical,related,0.6667
cut emissions,related,0.6751
dangers,related,0.67
human impact,related,0.6625
threatens native,related,1
evidence,related,0.6538
methane pollution,related,0.6645
failure limit,related,0.7077
fracking wells,related,0.6655
water linked,related,0.6605
tied climate,related,1
sandy soils,related,0.6707
moves methane,related,0.6707
summer,related,0.6736
cut methane,related,0.65
forest concerns,related,0.6533
fracking gas,related,0.6818
pollution via,related,0.6777
weather disprove,related,1
warming via,related,0.6686
fracking water,related,0.36
world,related,1
doubt climate,related,0.6572
help extinction,related,0.6832
glaciers,related,0.641
extinction climate,related,0.6667
polar vortex,related,1
facing extinction,related,1
change global,related,0.7252
gasolinas gas,related,0.65
industry,related,0.6449
protests,related,0.6933
burning,related,0.6636
halt fracking,related,0.3453
hurricanes,related,0.6636
rise extreme,related,0.6812
greater warming,related,0.6604
water supplies,related,0.6619
waste water,related,0.6649
shortages,related,0.6636
polar,related,0.6589
affects climate,related,0.6516
wastewater,related,0.6992
research,related,0.6582
humans blame,related,0.3434
combustible,related,1
scientists,related,0.5498
ice coverage,related,0.701
extremes,related,1
extinction,related,1
water use,related,1
change affecting,related,1
fracking ecowatch,related,0.6585
science,related,1
nino,related,0.5045
fracking via,related,0.6686
winter weather,related,0.6455
greenpeace,related,1
finds methane,related,1
change extinction,related,0.6677
rainforest,related,1
urmatoarele zile,related,0.345
coal,related,0.7013
threatens,related,0.6582
shifts,related,0.6968
big oil,related,1
warming speeds,related,1
food water,related,0.6636
watch global,related,0.6707
carbon dioxide,related,1
energy,related,0.6568
severe drought,related,0.6675
emissions trading,related,0.6729
weather events,related,1
gas natural,related,0.3409
threat,related,0.6933
satellite data,related,0.7808
global food,related,0.6667
footprint,related,1
impulsa gas,related,0.65
temperature,related,0.6579
support carbon,related,0.6763
gas oil,related,1
contaminated water,related,0.3605
severe weather,related,0.6933
major climate,related,0.6533
climate models,related,0.6663
impact,related,0.6732
fracking poses,related,0.67
tax carbon,related,0.6832
fracking study,related,0.6711
trees,related,0.6399
fracking oil,related,0.6638
poisoned,related,1
sea,related,0.65
methane gas,related,1
sobre gas,related,0.6933
via fracking,related,1
weather storms,related,0.6554
drinking water,related,1
race extinction,related,0.701
poisoned water,related,0.6636
regulate methane,related,0.6582
approve fracking,related,1
make change,related,0.7059
dominant cause,related,0.6763
gas,related,0.6495
limit carbon,related,0.6494
ice map,related,0.3593
change causes,related,0.3423
source,related,1
ban would,related,0.6933
emergency,related,0.6777
ecosystems,related,0.7237
precipitation,related,1
fracking stressing,related,0.6835
ice normal,related,0.3545
gas companies,related,0.6585
combustible levels,related,1
methane release,related,0.6763
extinction event,related,0.6477
met office,related,0.6465
pollution fracking,related,1
gases,related,0.3409
abrupt climate,related,1
global water,related,0.6768
planet,related,0.55
exploration,related,0.7228
influence,related,1
ice extent,related,0.6667
fracking,related,0.3399
drought gives,related,0.6625
heatwave,related,1
population growth,related,0.6933
droughts floods,related,1
deforestation real,related,0.6667
resources,related,0.6719
tax fracking,related,0.36
drought climate,related,0.6636
power,related,0.3604
leaks methane,related,1
bed methane,related,0.675
ghg emissions,related,0.6488
floods kill,related,0.6533
used fracking,related,0.7013
gas drilling,related,1
report finds,related,0.5417
gas system,related,0.65
clamp fracking,related,0.7021
change pollution,related,0.6625
resource tracking,related,0.6667
destroying,related,0.6585
forest,related,0.641
study says,related,0.65
temp humidity,related,0.6585
storm surges,related,0.3506
humans causing,related,0.3446
extinction next,related,0.701
degrees,related,0.6693
benefits natural,related,0.6625
rain forecast,related,1
threat climate,related,1
ice sheet,related,0.701
gas coal,related,0.6785
methane leaks,related,0.351
smog,related,0.6604
cause,related,0.6627
data global,related,1
dangers natural,related,0.6726
year extremes,related,0.6875
limit methane,related,0.36
cause climate,related,0.6732
believe global,related,1
burned vs,related,0.701
causes sea,related,0.6543
fracking drought,related,0.6989
industry manage,related,1
water shortages,related,1
change water,related,0.6929
support fracking,related,0.6572
scientific proof,related,0.6818
water resources,related,0.6726
human population,related,0.6667
sea ice,related,0.3446
atmosphere,related,0.701
solar pole,related,0.6818
record low,related,0.6933
fuel,related,1
hope floods,related,0.6582
catastrophic,related,0.7021
oil giant,related,1
consistent climate,related,0.3491
shale fracking,related,0.6785
variability,related,1
data change,related,0.6885
severe storms,related,0.6677
cold weather,related,0.6489
via climate,related,0.6707
emissions freshwater,related,0.515
floods climate,related,0.6636
little temperature,related,1
report shows,related,0.5339
fracking opposition,related,1
climate ruined,related,0.6818
despite global,related,0.6618
water fracking,related,0.3593
ice area,related,0.6933
shale gas,related,0.5268
warming still,related,1
came preventing,related,0.6291
earthquakes,related,0.6826
still sea,related,0.6832
government,related,0.6677
due climate,related,0.64
species extinction,related,0.7021
habitat,related,1
unchecked global,related,0.6933
rain increasing,related,0.7128
decline,related,0.6875
pressure,related,0.6636
double weather,related,1
methane climate,related,0.6533
government estimates,related,1
temp,related,0.6914
record,related,0.3506
record high,related,1
cut carbon,related,1
contribute,related,0.6982
change threatens,related,1
ecological,related,0.6636
linked climate,related,0.657
term,proper noun,choose_one:confidence
asian,proper noun,0.4564
asia,proper noun,1
china,proper noun,1
arctic sea,proper noun,0.6697
antarctic,proper noun,1
asian ozone,proper noun,1
tony perkins,proper noun,1
ahmed,proper noun,1
cameron promises,proper noun,0.6614
amazon,proper noun,0.912
bolivia ha,proper noun,1
tony,proper noun,0.6587
greenland,proper noun,1
bolivia,proper noun,1
south africa,proper noun,1
news february,proper noun,0.6614
california residents,proper noun,1
hawaii,proper noun,1
indonesia make,proper noun,0.8648
trapped antarctic,proper noun,1
antarctic sea,proper noun,1
deforestation indonesia,proper noun,0.9046
texas,proper noun,1
news cameron,proper noun,0.6641
california,proper noun,1
california drought,proper noun,0.6767
david cameron,proper noun,1
kerry,proper noun,1
arctic,proper noun,1
pine island,proper noun,0.6718
island,proper noun,0.6716
cameron urges,proper noun,1
britain,proper noun,1
congress,proper noun,0.6697
cameron,proper noun,1
climate arctic,proper noun,0.6689
africa,proper noun,1
africa need,proper noun,0.9029
melting arctic,proper noun,1
president tony,proper noun,0.6632
reuters,proper noun,0.6601
american,proper noun,0.7299
obama,proper noun,1
john,proper noun,0.9108
hawaii tied,proper noun,1
colorado first,proper noun,0.877
alcanza,proper noun,0.3455
floods bolivia,proper noun,0.6711
europa,proper noun,0.9142
pollution hawaii,proper noun,1
colorado becomes,proper noun,1
rusia,proper noun,1
first colorado,proper noun,1
elizabeth kolbert,proper noun,1
kerry climate,proper noun,1
australia,proper noun,1
colorado,proper noun,1
uk,proper noun,1
colorado cracks,proper noun,0.834
greenland ice,proper noun,1
usa,proper noun,1
john kerry,proper noun,0.9146
kolbert,proper noun,0.6563
david,proper noun,0.6586
extinction queensland,proper noun,1
felipe consejo,proper noun,0.6661
arctic methane,proper noun,0.6692
declared california,proper noun,1
gore,proper noun,0.6667
kerry calls,proper noun,1
ohio,proper noun,0.8584
haiyan,proper noun,0.3408
bolivia floods,proper noun,0.8996
show texas,proper noun,0.6687
indonesia,proper noun,1
kellogg,proper noun,0.6714
washington,proper noun,1
texas well,proper noun,1
level rise,not specific,0.7807
emails reveal,not specific,1
level change,not specific,0.6667
risk,not specific,1
rise,not specific,1
sparks call,not specific,0.7746
voix,not specific,0.679
affect,not specific,0.3544
companies,not specific,1
solution,not specific,1
consistent,not specific,1
estimates,not specific,1
worsen,not specific,0.6729
warming opinions,not specific,0.6554
sobre,not specific,0.6914
supplies,not specific,1
net,not specific,1
change late,not specific,0.6399
study,not specific,0.5083
human rights,not specific,1
replace,not specific,1
big thought,not specific,1
opponents,not specific,0.6533
survive,not specific,1
tell,not specific,1
disruption,not specific,1
hole,not specific,1
must,not specific,1
humanity ever,not specific,0.6667
rhinoceros,not specific,0.6445
toxic,not specific,0.679
lag,not specific,1
president,not specific,1
urge halt,not specific,0.6753
green,not specific,0.6554
wind,not specific,0.6729
office,not specific,1
time natural,not specific,0.6883
likely dead,not specific,1
humans asteroid,not specific,0.5088
fracking crazy,not specific,0.6554
