Id,keyword,keyword_type,active_status,since_id,count,last_access,last_status_desc,max_id
946,windfarm,NULL,0,423739256243499008,0,2014-05-26 14:30:57,success,335400727562289153
948,,NULL,0,NULL,0,2014-06-02 13:01:07,success,NULL
949,aerosol,NULL,0,423784111153483776,0,2014-06-02 12:12:44,success,335400727562289153
950,Aerosol-cloud interaction,NULL,0,NULL,0,2014-06-02 13:39:41,success,335400727562289153
951,Aerosol-radiation interaction,NULL,0,NULL,0,2014-06-02 13:11:42,success,266192033641795584
952,Afforestation,NULL,0,423751102916341760,0,2014-05-26 15:10:39,success,335400727562289153
953,air quality,NULL,0,423754703496024064,0,2014-06-02 12:57:17,success,335400727562289153
954,arctic ice,NULL,0,423788271802388480,0,2014-06-02 12:26:30,success,266192033641795584
955,Atlantic Multi-decadal Oscillation,NULL,0,NULL,0,2014-05-26 13:37:04,success,266192033641795584
956,Atmosphere-Ocean General Circulation Model,NULL,0,NULL,0,2014-05-26 13:27:29,success,335400727562289153
957,Atmospheric boundary layer,NULL,0,421734393229492224,0,2014-06-02 12:46:48,success,266192033641795584
958,Atmospheric lifetime,NULL,0,423369164863324160,0,2014-05-26 13:38:14,success,335400727562289153
959,Autotrophic respiration,NULL,0,423233913608486912,0,2014-05-26 13:47:23,success,266192033641795584
960,biofuel,NULL,0,423770193601765376,0,2014-05-26 15:02:47,success,335400727562289153
961,biomass,NULL,0,423754363010428929,0,2014-05-26 15:04:04,success,335400727562289153
962,Brewer-Dobson circulation,NULL,0,423782390377754624,0,2014-05-26 13:40:15,success,335400727562289153
963,cap and trade,NULL,0,423768431796555776,0,2014-05-26 14:22:37,success,266192033641795584
964,carbon dioxide,NULL,0,423786191360917505,0,2014-06-02 12:04:19,success,335400727562289153
965,carbon dioxide concentration,NULL,0,423133222202277888,0,2014-05-26 14:13:40,success,335400727562289153
966,carbon dioxide emission,NULL,0,423549270050885633,0,2014-06-02 12:28:53,success,266192033641795584
967,Carbon dioxide fertilization,NULL,0,NULL,0,2014-06-02 11:21:22,success,266192033641795584
968,Carbon Dioxide Removal,NULL,0,423762015258025984,0,2014-06-02 11:36:01,success,335400727562289153
969,carbon emission,NULL,0,423783105322029056,0,2014-06-02 12:55:52,success,266192033641795584
970,carbon offset,NULL,0,423712684790390784,0,2014-06-02 12:38:21,success,335400727562289153
971,carbon sequestration,NULL,0,423714248380776448,0,2014-05-26 15:17:42,success,335400727562289153
972,carbon tax,NULL,0,423768503846727680,0,2014-05-26 14:16:28,success,266192033641795584
973,ccsp,NULL,0,423683793065480192,0,2014-05-26 14:34:22,success,266192033641795584
974,chlorofluorcarbon,NULL,0,NULL,0,2014-05-26 14:00:10,success,266192033641795584
975,Clausius-Clapeyron,NULL,0,423253671095570432,0,2014-05-26 15:20:41,success,266192033641795584
976,Climate change,NULL,0,423713764274614272,0,2014-06-02 11:40:01,success,266192033641795584
977,Climate change commitment,NULL,0,423696688491298816,0,2014-05-26 14:13:07,success,335400727562289153
978,climate change science program,NULL,0,423040073488404480,0,2014-06-02 12:08:35,success,335400727562289153
979,climate extremes,NULL,0,423723503146115072,0,2014-06-02 13:53:38,success,266192033641795584
980,climate feedback,NULL,0,423747731228618752,0,2014-05-26 13:53:42,success,335400727562289153
981,Climate Feedback Parameter,NULL,0,NULL,0,2014-05-26 13:51:12,success,266192033641795584
982,Climate model,NULL,0,423782719143682048,0,2014-06-02 13:15:55,success,266192033641795584
983,climate oscillation,NULL,0,423617830399905793,0,2014-06-02 12:34:09,success,266192033641795584
984,Climate scenario,NULL,0,423644487504506880,0,2014-06-02 12:38:18,success,266192033641795584
985,Climate sensitivity parameter,NULL,0,NULL,0,2014-05-26 14:12:11,success,335400727562289153
986,climate variability,NULL,0,423746996105531393,0,2014-06-02 12:20:27,success,335400727562289153
987,Climate-carbon cycle feedback,NULL,0,NULL,0,2014-05-26 14:51:05,success,335400727562289153
988,climatology,NULL,0,423768696482312192,0,2014-06-02 11:27:51,success,266192033641795584
989,Cloud condensation nuclei,NULL,0,423588973995237376,0,2014-06-02 11:14:01,success,266192033641795584
990,Cloud radiative effect,NULL,0,NULL,0,2014-05-26 14:19:34,success,335400727562289153
991,clouds,NULL,0,423745528040415233,0,2014-06-02 12:08:51,success,266192033641795584
992,co2,NULL,0,423762194338443264,0,2014-06-02 12:06:40,success,266192033641795584
993,CO2-equivalent,NULL,0,423513090127577088,0,2014-06-02 13:04:18,success,266192033641795584
994,coal,NULL,0,423787763507265537,0,2014-05-26 13:26:48,success,335400727562289153
995,confPR,NULL,0,423790663449444352,0,2014-05-26 14:42:31,success,335400727562289153
996,coral bleaching,NULL,0,423548208300584961,0,2014-05-26 13:36:46,success,266192033641795584
997,Dansgaard-Oeschger events,NULL,0,NULL,0,2014-05-26 15:02:44,success,335400727562289153
998,Deforestation,NULL,0,423777523580018688,0,2014-06-02 13:30:37,success,335400727562289153
999,Deglaciation,NULL,0,423537570048274433,0,2014-06-02 12:58:51,success,335400727562289153
1000,Direct aerosol effect,NULL,0,421968844572209152,0,2014-05-26 14:13:10,success,266192033641795584
1001,drought,NULL,0,423778736266178562,0,2014-06-02 13:45:06,success,335400727562289153
1002,earth science,NULL,0,423786838113800192,0,2014-05-26 13:30:54,success,335400727562289153
1003,Earth System Model,NULL,0,423239097407512576,0,2014-05-26 13:56:56,success,335400727562289153
1004,Earth System sensitivity,NULL,0,NULL,0,2014-05-26 14:25:34,success,335400727562289153
1005,Earth-System Model of Intermediate Complexity,NULL,0,NULL,0,2014-05-26 14:29:22,success,266192033641795584
1006,Effective climate sensitivity,NULL,0,NULL,0,2014-05-26 14:42:19,success,266192033641795584
1007,Effective radiative forcing,NULL,0,NULL,0,2014-05-26 14:39:42,success,335400727562289153
1008,el nino,NULL,0,423753240409563136,0,2014-05-26 13:30:44,success,335400727562289153
1009,emission reduction,NULL,0,423702237034987520,0,2014-06-02 13:31:12,success,266192033641795584
1010,Emission scenario,NULL,0,423492888614297600,0,2014-06-02 12:39:39,success,266192033641795584
1011,Energy Balance Model,NULL,0,422482348752773120,0,2014-06-02 11:35:34,success,335400727562289153
1012,energy conservation,NULL,0,423782945476730881,0,2014-06-02 12:26:14,success,266192033641795584
1013,epidemics,NULL,0,423706821879005184,0,2014-05-26 13:17:53,active,335400727562289153
1014,Equilibrium climate experiment,NULL,0,NULL,0,2014-05-26 14:41:06,success,266192033641795584
1015,Equilibrium climate sensitivity,NULL,0,421459354336763904,0,2014-06-02 12:28:12,success,266192033641795584
1016,Evapotranspiration,NULL,0,423688149173170178,0,2014-06-02 14:06:37,success,335400727562289153
1017,extinction,NULL,0,423783066709291008,0,2014-06-02 13:30:56,success,335400727562289153
1018,Extreme climate event,NULL,0,423756157577330688,0,2014-05-26 13:33:42,success,266192033641795584
1019,Extreme sea level,NULL,0,423760795118624768,0,2014-06-02 11:55:06,success,335400727562289153
1020,Extreme weather event,NULL,0,423776006097215488,0,2014-05-26 14:38:06,success,266192033641795584
1021,famine,NULL,0,423786318003326976,0,2014-05-26 14:10:05,success,266192033641795584
1022,floods,NULL,0,423724898314244096,0,2014-05-26 13:41:33,success,335400727562289153
1023,fossil,NULL,0,423774823547174912,0,2014-05-26 13:43:15,success,266192033641795584
1024,Fossil fuel emissions,NULL,0,423755831067553792,0,2014-05-26 13:56:09,success,335400727562289153
1025,fracking,NULL,0,423776118236520448,0,2014-05-26 13:36:38,success,335400727562289153
1026,Framework Convention on Climate Change,NULL,0,423667289800466432,0,2014-06-02 12:47:19,success,266192033641795584
1027,freshwater,NULL,0,423773718708383744,0,2014-06-02 13:26:45,success,335400727562289153
1028,fuel,NULL,0,423785018150760448,0,2014-05-26 14:00:50,success,335400727562289153
1029,geoengineering,NULL,0,423784875242831872,0,2014-05-26 15:10:06,success,266192033641795584
1030,geothermal,NULL,0,423786301691670528,0,2014-06-02 11:52:08,success,266192033641795584
1031,ghg,NULL,0,423785778641399808,0,2014-05-26 14:45:52,success,266192033641795584
1032,glacier,NULL,0,423779638557814784,0,2014-06-02 12:10:21,success,266192033641795584
1033,Global dimming,NULL,0,423390327504769024,0,2014-06-02 12:41:36,success,335400727562289153
1034,Global mean surface temperature,NULL,0,423451522102722560,0,2014-06-02 12:31:39,success,266192033641795584
1035,global warming,NULL,0,423787948094418947,0,2014-06-02 13:50:10,success,266192033641795584
1036,Global Warming Potential,NULL,0,423630603695583232,0,2014-06-02 11:23:54,success,335400727562289153
1037,Greenhouse effect,NULL,0,423781670940995584,0,2014-06-02 12:39:13,success,335400727562289153
1038,Greenhouse gas,NULL,0,423789611950018560,0,2014-05-26 13:38:24,success,266192033641795584
1039,greenpeace,NULL,0,423786968711852032,0,2014-06-02 12:52:35,success,266192033641795584
1040,habitat loss,NULL,0,423716323768532992,0,2014-05-26 14:57:46,success,266192033641795584
1041,heat wave,NULL,0,423792807204360192,0,2014-06-02 13:33:25,success,266192033641795584
1042,heavy rain,NULL,0,423764851958116352,0,2014-05-26 14:40:24,success,335400727562289153
1043,Human impact,NULL,0,423776470419271680,0,2014-05-26 14:33:47,success,335400727562289153
1044,hydropower,NULL,0,423762509376782336,0,2014-06-02 13:45:51,success,266192033641795584
1045,ice age,NULL,0,423794466638802944,0,2014-05-26 14:27:07,success,266192033641795584
1046,ice melt,NULL,0,423687719475105792,0,2014-05-26 14:52:34,success,335400727562289153
1047,ice sheet,NULL,0,423729813442936833,0,2014-06-02 13:54:23,success,335400727562289153
1048,ice shelf,NULL,0,423771028167217152,0,2014-06-02 11:21:20,success,266192033641795584
1049,Indirect aerosol effect,NULL,0,NULL,0,2014-06-02 11:11:49,success,266192033641795584
1050,industrialization,NULL,0,423691953474387968,0,2014-05-26 13:22:49,active,266192033641795584
1051,interglacial,NULL,0,423633034370621440,0,2014-06-02 11:43:51,success,335400727562289153
1052,Intergovernmental Panel on Climate Change,NULL,0,423450942160109568,0,2014-05-26 13:19:51,active,266192033641795584
1053,ipcc,NULL,0,423789756623757312,0,2014-05-26 13:59:17,success,266192033641795584
1054,IPCC report,NULL,0,423716456329515008,0,2014-05-26 14:24:11,success,335400727562289153
1055,Kyoto Protocol,NULL,0,423766206563495936,0,2014-06-02 13:32:33,success,335400727562289153
1056,la nina,NULL,0,423664844986777600,0,2014-06-02 11:18:08,success,266192033641795584
1057,land cover change,NULL,0,422101988298330112,0,2014-06-02 11:12:42,success,266192033641795584
1058,Last Glacial Maximum,NULL,0,423679042290581504,0,2014-06-02 13:40:15,success,266192033641795584
1059,Last Interglacial,NULL,0,423774146149896192,0,2014-06-02 14:05:00,success,335400727562289153
1060,logging,NULL,0,423761932500217856,0,2014-06-02 13:39:06,success,266192033641795584
1061,Madden-Julian Oscillation,NULL,0,423188420135878656,0,2014-06-02 13:24:33,success,266192033641795584
1062,Mean sea level,NULL,0,423690904918949888,0,2014-05-26 13:55:15,success,335400727562289153
1063,meat,NULL,0,423768835775156224,0,2014-05-26 15:06:08,success,266192033641795584
1064,Medieval Climate Anomaly,NULL,0,NULL,0,2014-06-02 13:39:15,success,266192033641795584
1065,methane,NULL,0,423784052378701824,0,2014-05-26 14:00:34,success,266192033641795584
1066,migration,NULL,0,423777348995919872,0,2014-05-26 14:16:00,success,335400727562289153
1067,Mode of climate variability,NULL,0,NULL,0,2014-06-02 11:32:44,success,335400727562289153
1068,natural gas,NULL,0,423788221827674112,0,2014-06-02 12:34:56,success,266192033641795584
1069,nitrous oxide,NULL,0,423737987470356480,0,2014-05-26 14:28:03,success,335400727562289153
1070,Ocean acidification,NULL,0,423728913584357376,0,2014-05-26 14:20:25,success,266192033641795584
1071,Ocean heat uptake efficiency,NULL,0,NULL,0,2014-06-02 11:40:37,success,335400727562289153
1072,oil,NULL,0,423772602604089344,0,2014-06-02 13:40:30,success,335400727562289153
1073,orangutan,NULL,0,423784515228549120,0,2014-06-02 12:46:46,success,335400727562289153
1074,orbital variation,NULL,0,NULL,0,2014-06-02 12:16:27,success,335400727562289153
1075,Ozone hole,NULL,0,423732877311090688,0,2014-05-26 14:16:18,success,266192033641795584
1076,Ozone layer,NULL,0,423777962752634880,0,2014-05-26 13:26:46,success,335400727562289153
1077,paleoclimatology,NULL,0,423722864416550912,0,2014-05-26 14:27:46,success,335400727562289153
1078,palm oil,NULL,0,423770705147469824,0,2014-05-26 14:18:30,success,335400727562289153
1079,perfluorotributylamine,NULL,0,423304207051919360,0,2014-06-02 12:48:54,success,335400727562289153
1080,permafrost,NULL,0,423784078702166016,0,2014-05-26 14:14:40,success,266192033641795584
1081,pftba,NULL,0,423761945461018624,0,2014-06-02 12:46:13,success,266192033641795584
1082,polar bears,NULL,0,423757992006123520,0,2014-06-02 13:27:09,success,335400727562289153
1083,pole shift,NULL,0,423723720478572544,0,2014-06-02 11:39:41,success,335400727562289153
1084,population growth,NULL,0,423736362152787968,0,2014-05-26 13:45:46,success,266192033641795584
1085,Rapid climate change,NULL,0,423775297066917888,0,2014-05-26 13:21:57,active,266192033641795584
1086,Reforestation,NULL,0,423713187087650816,0,2014-05-26 14:10:52,success,335400727562289153
1087,Regional Climate Model,NULL,0,423011485149720576,0,2014-06-02 14:04:44,success,266192033641795584
1088,reindeer,NULL,0,423657674010423296,0,2014-05-26 13:33:54,success,266192033641795584
1089,Relative sea level,NULL,0,423101005275086848,0,2014-05-26 13:39:59,success,335400727562289153
1090,renewable energy,NULL,0,423742799905693696,0,2014-05-26 13:56:21,success,335400727562289153
1091,sea ice,NULL,0,423790796387520512,0,2014-06-02 11:58:12,success,335400727562289153
1092,Sea level change,NULL,0,423771717257814016,0,2014-05-26 15:14:10,success,266192033641795584
1093,Sea level equivalent,NULL,0,420839790771470336,0,2014-05-26 13:38:38,success,335400727562289153
1094,sea level rise,NULL,0,423786956938440704,0,2014-05-26 15:14:39,success,335400727562289153
1095,seasonal shift,NULL,0,423633183247446017,0,2014-06-02 13:35:22,success,266192033641795584
1096,shore protection,NULL,0,423364469608030208,0,2014-06-02 11:22:44,success,266192033641795584
1097,snow cover,NULL,0,423788791791239170,0,2014-05-26 13:43:16,success,335400727562289153
1098,solar irradiance,NULL,0,423526378831495168,0,2014-05-26 15:03:22,success,335400727562289153
1099,solar panel,NULL,0,423755815573393409,0,2014-06-02 12:07:32,success,335400727562289153
1100,solar radiation,NULL,0,423618117114531840,0,2014-06-02 12:57:14,success,266192033641795584
1101,Solar Radiation Management,NULL,0,423594727225573377,0,2014-06-02 11:57:36,success,266192033641795584
1102,standard of living,NULL,0,423767422668382208,0,2014-06-02 12:51:26,success,335400727562289153
1103,storms,NULL,0,423729941172076544,0,2014-06-02 11:48:16,success,266192033641795584
1104,surface temperature,NULL,0,423770641636929536,0,2014-06-02 12:51:11,success,335400727562289153
1105,sustainable development,NULL,0,423786237002907648,0,2014-05-26 14:40:43,success,335400727562289153
1106,temperature anomaly,NULL,0,423581690791878656,0,2014-06-02 11:37:32,success,335400727562289153
1107,The Climate Reality Project,NULL,0,423506112533377024,0,2014-06-02 12:48:32,success,335400727562289153
1108,The Physical Science Basis,NULL,0,423464791928078336,0,2014-06-02 12:27:32,success,335400727562289153
1109,transient climate experiment,NULL,0,NULL,0,2014-06-02 12:24:44,success,335400727562289153
1110,Transient climate response,NULL,0,420741023003074560,0,2014-05-26 14:11:41,success,335400727562289153
1111,Transient climate response to cumulative CO2 emissions,NULL,0,NULL,0,2014-06-02 12:34:56,success,266192033641795584
1112,transportation,NULL,0,423717633192509440,0,2014-05-26 15:20:21,success,266192033641795584
1113,turtles,NULL,0,423776319688540160,0,2014-05-26 14:24:53,success,266192033641795584
1114,UNFCCC,NULL,0,423742179673391105,0,2014-05-26 13:50:01,success,335400727562289153
1115,volcanic eruption,NULL,0,423777119135473664,0,2014-05-26 14:19:46,success,266192033641795584
1116,water management,NULL,0,423738062183493633,0,2014-05-26 15:00:06,success,266192033641795584
1117,water resources,NULL,0,423751653624643584,0,2014-06-02 13:06:55,success,335400727562289153
1118,water scarcity,NULL,0,423746547923562496,0,2014-05-26 15:01:07,success,266192033641795584
1119,water vapor,NULL,0,423738273635508224,0,2014-06-02 13:22:46,success,335400727562289153
1120,weather extremes,NULL,0,423718716833300480,0,2014-05-26 15:09:39,success,335400727562289153
1121,Well-mixed greenhouse gas,NULL,0,NULL,0,2014-06-02 12:46:09,success,266192033641795584
1122,wild fire,NULL,0,423786244221308928,0,2014-06-02 13:23:55,success,266192033641795584
1123,windfarm,NULL,0,423739256243499008,0,2014-05-26 14:04:07,success,335400727562289153
1124,polar vortex,NULL,0,NULL,0,2014-06-02 12:38:47,success,NULL
1125,epfl,NULL,0,NULL,0,2014-05-26 15:14:31,success,NULL
1126,eth,NULL,0,NULL,0,2014-05-26 13:50:26,success,NULL
1127,ethz,NULL,0,NULL,0,2014-05-26 14:48:22,success,NULL
1128,swiss federal institute,NULL,0,NULL,0,2014-05-26 13:52:59,success,NULL
