Id,screenname,userid,user_type,followers,description,active_status,since_id,count,last_access,last_status_desc,max_id,photo
162,oxfamgb,NULL,Indepedent,100648,Charities,0,423752529256914944,8822,2014-05-26 14:36:53,success,381371578216611840,NULL
163,globalactplan,NULL,Political,7105,Charities,0,423784896033988608,5405,2014-06-02 13:51:51,success,100562198996336640,NULL
164,GreenpeaceUK,NULL,Political,75823,Charities,0,423478074966306816,9514,2014-05-26 14:08:10,success,325647307674615808,NULL
165,climatesavers,NULL,Independent,73711,Charities,0,411496430822772736,1000,2014-06-02 11:41:17,success,10011115132026880,NULL
166,wwwfoecouk,NULL,Political,80529,Charities,0,423735751097192448,8951,2014-05-26 13:36:30,success,302084940449865729,NULL
167,algore,NULL,Political,2701525,Politics,0,423493043732623360,2798,2014-06-02 11:36:13,success,100642648515284992,NULL
168,EPA,NULL,Political,173857,Politics,0,423532277499318272,6342,2014-05-26 13:28:05,success,100570647943589890,NULL
169,DECCgovuk,NULL,Political,51715,Politics,0,423742053508714496,3197,2014-05-26 14:14:01,success,100896616764030977,NULL
170,the_ecologist,NULL,Blog,70858,News,0,423769679745015808,6160,2014-05-26 13:31:28,success,100521274102657024,NULL
171,James_BG,NULL,News,13858,News,0,423517628112842752,10640,2014-06-02 13:00:32,success,374847916772294658,NULL
172,dotearth,NULL,Blog,32336,News,0,423541557766008832,3009,2014-05-26 14:44:02,success,100646864172494848,NULL
173,climatedesk,NULL,Blog,39383,News,0,423569980831969281,7896,2014-06-02 12:07:43,success,319536957107613696,NULL
174,climateprogress,NULL,Independent,59968,Blogger,0,423605638283808769,11160,2014-06-02 13:38:20,success,341978872021143552,NULL
175,grist,NULL,News,136782,Blogger,0,423726092713992192,13819,2014-05-26 14:46:34,success,380878718211981312,NULL
176,TreeHugger,NULL,Indepedent,261263,Blogger,0,423601406486904832,9952,2014-06-02 11:52:21,success,339827538446647296,NULL
177,GreenLeapFwd,NULL,Political,3558,Blogger,0,420744701738618880,1399,2014-06-02 13:39:21,success,108284508687704066,NULL
178,kate_sheppard,NULL,News,49873,Blogger,0,423667120363155456,10283,2014-06-02 12:06:22,success,334068829623812098,NULL
179,EricPooley,NULL,Political,5178,Campaigner,0,423612395421175809,3211,2014-05-26 14:09:14,success,103779062685769728,NULL
180,billmckibben,NULL,Environmentalist,107385,Campaigner,0,423614785536950272,6882,2014-06-02 11:23:20,success,292681888810803200,NULL
181,kgrandia,NULL,Independent,12449,Campaigner,0,423649851524411393,7029,2014-06-02 11:51:17,success,103850502206406656,NULL
182,SCCcoalition,NULL,Political,12136,Campaign groups,0,423769626989039616,7477,2014-06-02 11:44:32,success,100586431784812546,NULL
183,350,NULL,Independent,165586,Campaign groups,0,423720163733954560,12135,2014-05-26 15:03:44,success,335396798225055744,NULL
184,1010,NULL,Independent,16097,Campaign groups,0,423735633228476417,5819,2014-05-26 13:49:36,success,100512505733976064,NULL
185,tcktcktck,NULL,Blog,31084,Campaign groups,0,423509388410626049,6854,2014-05-26 14:42:22,success,194538687118315522,NULL
186,energyaction,NULL,Political,25471,Campaign groups,0,423538551406346240,3608,2014-06-02 13:49:16,success,198470640758571009,NULL
187,ClimateGroup,NULL,Indendent,46440,Campaign groups,0,423503757973151744,6759,2014-06-02 14:04:24,success,346940162120499202,NULL
188,peopleandplanet,NULL,Independent,10725,Campaign groups,0,423514925290754048,4270,2014-06-02 13:10:47,success,324173157038698497,NULL
189,the_daily_green,NULL,Blog,53657,Carbon-cutting,0,422022191832510464,1200,2014-06-02 13:42:22,success,100557730414202880,NULL
190,energysvgtrust,NULL,Political,26740,Carbon-cutting,0,423761916138631168,4206,2014-06-02 11:58:54,success,100487737886523392,NULL
191,Dothegreenthing,NULL,Blog,57618,Carbon-cutting,0,423556563090284544,6295,2014-06-02 11:25:37,success,295871960477491200,NULL
192,earthinstitute,NULL,Researcher,58843,Climate scientist,0,423558195433730048,5811,2014-05-26 13:26:45,success,100554967219310594,NULL
193,metoffice,NULL,Political,174041,Climate scientist,0,423755194036654080,12774,2014-05-26 14:43:55,success,406877337557667840,NULL
194,ClimateCentral,NULL,Independent,9846,Climate scientist,0,423629534479785984,7085,2014-05-26 14:35:47,success,310120585801895936,NULL
195,unep,NULL,Political,156735,UN Environment,0,423770881656377344,8312,2014-05-26 14:31:37,success,145061990308651008,NULL
196,worldresources,NULL,Blog,64421,Research organization,0,423632390620467200,8700,2014-06-02 12:33:11,success,275672835983286274,NULL
197,UN_ClimateTalks,NULL,Political,69721,United Nations Framework Convention on Climate Change,0,423771381633794048,8358,2014-06-02 11:33:51,success,222773242379767808,NULL
198,guardianeco,NULL,News,195813,News,0,423727582148698112,10586,2014-06-02 12:45:38,success,334608311259373568,NULL
199,EarthVitalSigns,NULL,Researcher,83407,NASA,0,423200681638391808,1402,2014-06-02 12:50:00,success,101334655613157377,NULL
200,pcanfin,NULL,Political,15694,Politics,0,423483367259373569,3321,2014-05-26 14:39:30,success,113559082664857600,NULL
201,pwatkinson,NULL,Political,1542,Politics,0,423573150837010432,3233,2014-05-26 14:29:02,success,10203083111931904,NULL
202,LDCChairUNFCCC,NULL,Political,1338,Politics,0,422978856065048576,339,2014-05-26 15:05:40,success,183166566765043712,NULL
203,ClimateCorridor,NULL,Independent,768,Politics,0,405750265422553088,414,2014-05-26 13:53:53,success,270847593637089280,NULL
204,cop_in_paris,NULL,Independent,195,Research ,0,410565151549845504,409,2014-06-02 13:41:10,success,268345581930442752,NULL
205,FAOnews,NULL,News,102192,Food and Agriculture Organization of the United Nations,0,423757518306025472,9291,2014-06-02 11:20:47,success,307513488891338752,NULL
206,wbclimatechange,NULL,Political,16889,World Bank,0,423769214567342080,9424,2014-06-02 11:42:03,success,10039489488,NULL
207,tveitdal,NULL,Political,91312,Environment/Politics,0,423713478625349632,7710,2014-06-02 14:04:41,success,307676500080074752,NULL
208,CFigueres,NULL,Political,24446,UNFCCC,0,423768711535673345,6280,2014-06-02 12:24:09,success,105579480759795712,NULL
209,cgiarclimate,NULL,Researcher,12101,Research,0,423770401534398464,8492,2014-06-02 13:06:32,success,313788958641356800,NULL
210,connect4climate,NULL,News,109165,Campaign groups,0,423697392991760384,11485,2014-05-26 15:11:56,success,322736860445167619,NULL
214,GlobalGrind,NULL,Independent,0,NULL,0,423771665173315584,17514,2014-05-26 14:10:28,success,405087269054586880,NULL
215,davidaxelrod,NULL,Political,0,NULL,0,423307711501967363,3229,2014-05-26 13:24:32,success,105639236128092160,NULL
217,nature_org,NULL,Independent,0,NULL,0,423551902740000770,8458,2014-06-02 11:12:13,success,235118812834430976,NULL
218,HuffPostGreen,NULL,News,0,NULL,0,423776673226846208,18899,2014-05-26 14:06:15,success,399247548567011328,NULL
220,NRDC,NULL,Political,0,NULL,0,423661268571279360,11951,2014-05-26 14:23:46,success,350242230973378560,NULL
221,NASA_EO,NULL,Political,0,NULL,0,423696256331182080,7892,2014-05-26 14:45:49,success,232531291290075136,NULL
225,EnvDefenseFund,NULL,Political,0,NULL,0,423635753265278976,10094,2014-05-26 13:34:37,success,119388805672349696,NULL
226,EPAresearch,NULL,Researcher,0,NULL,0,423560942337941505,7275,2014-05-26 14:05:31,success,301753351790534656,NULL
227,ClimateSaudi,NULL,Independent,0,NULL,0,422930794953605120,1517,2014-06-02 14:03:17,success,165497338264162304,NULL
228,EnergyCollectiv,NULL,News,0,NULL,0,423759474700976128,9562,2014-06-02 14:00:23,success,380695417220268032,NULL
229,RAN,NULL,Independent,0,NULL,0,423601741679304705,9137,2014-06-02 12:59:24,success,136209306788954113,NULL
231,350action,NULL,Independent,0,NULL,0,398463566577414144,1198,2014-05-26 13:31:27,success,100979649298972672,NULL
232,climateapps,NULL,Independent,0,NULL,0,228436318865211392,800,2014-06-02 13:51:31,success,101267417103208448,NULL
233,c40cities,NULL,Indendent,0,NULL,0,423533662236188674,4189,2014-06-02 12:00:25,success,101738689507508225,NULL
235,AtmosNews,NULL,News,0,NULL,0,423548011386396672,4416,2014-06-02 12:45:12,success,101009853400616960,NULL
236,DeSmogBlog,NULL,Blog,0,NULL,0,423475920427438080,4007,2014-06-02 13:16:23,success,101038311602266114,NULL
237,Climate_Bill,NULL,Political,0,NULL,0,307307927843246080,452,2014-05-26 13:55:00,success,10388204042,NULL
238,PeterGleick,NULL,Researcher,0,NULL,0,423674560957804544,6688,2014-06-02 11:52:33,success,273956686027452419,NULL
239,WMOnews,NULL,News,0,NULL,0,423502370266308608,6003,2014-06-02 12:30:47,success,101310723283628033,NULL
240,wattsupwiththat,NULL,Independent,0,NULL,0,423726828570701824,11148,2014-06-02 13:10:01,success,326010190711369729,NULL
241,GreenLiberation,NULL,Political,0,NULL,0,423679165536411648,12941,2014-05-26 13:52:45,success,402092761790169089,NULL
242,NobleIdeas,NULL,Independent,0,NULL,0,423676600626860032,7467,2014-05-26 13:46:48,success,284069908562731008,NULL
243,PointCarbonNews,NULL,News,0,NULL,0,423611517654020096,5405,2014-06-02 11:28:27,success,100560281708670976,NULL
244,stopglobalwarm,NULL,Blog,0,NULL,0,423131037661532160,1072,2014-05-26 14:49:02,success,103188510453923840,NULL
245,Reportingclimat,NULL,News,0,NULL,0,423673703839588352,11897,2014-05-26 15:01:24,success,10020966843289600,NULL
246,GlobalWarming36,NULL,News,0,NULL,0,423720981148864512,14775,2014-05-26 15:20:14,success,356561012952014850,NULL
247,alannogee,NULL,Scientist,0,NULL,0,423633482624294912,8331,2014-06-02 12:47:03,success,331186287748993024,NULL
248,KHayhoe,NULL,Researcher,0,NULL,0,421473586730110976,1599,2014-06-02 12:19:43,success,100917933743669250,NULL
249,Agent350,NULL,Independent,0,NULL,0,423571283284987905,9752,2014-05-26 14:25:48,success,265848718891315200,NULL
250,NASAGlory,NULL,Political,0,NULL,0,56448562090876928,338,2014-05-26 13:25:53,success,10036260173250562,NULL
251,HeidiCullen,NULL,Political,0,NULL,0,423268250684649473,3404,2014-05-26 13:41:13,success,103556570062921728,NULL
252,EmersonClimate,NULL,Independent,0,NULL,0,423616887042629632,8644,2014-06-02 12:03:02,success,100551869662904320,NULL
253,RisingTideNA,NULL,Independent,0,NULL,0,423523180826071041,5230,2014-05-26 13:29:18,success,251075193206865920,NULL
254,LFFriedman,NULL,News,0,NULL,0,423685971876782080,9591,2014-05-26 15:19:51,success,259989918477078528,NULL
255,LeoHickman,NULL,Political,0,NULL,0,423734929684307968,9176,2014-05-26 13:20:53,active,345305025284816896,NULL
256,afreedma,NULL,News,0,NULL,0,421845973951066113,3219,2014-05-26 14:01:29,success,306215072215216129,NULL
257,ForecastFacts,NULL,Blog,0,NULL,0,423669778897981440,10581,2014-05-26 14:56:22,success,160283875367596033,NULL
258,citizensclimate,NULL,Political,0,NULL,0,423590583245234176,10298,2014-05-26 13:39:19,success,321600886461849600,NULL
259,ClimateTweet,NULL,News,0,NULL,0,85505501818920960,539,2014-05-26 14:10:35,success,10165415447633920,NULL
260,carbonmeme,NULL,Independent,0,NULL,0,423784229382524928,12827,2014-05-26 13:50:53,success,321836281757827072,NULL
261,KenCaldeira,NULL,Political,0,NULL,0,423644044699238400,2335,2014-05-26 14:23:58,success,100586653478957056,NULL
262,DaveCBenoit,NULL,Independent,0,NULL,0,423560367441059840,5072,2014-06-02 12:34:01,success,129999832470388736,NULL
263,C2ES_org,NULL,independent,0,NULL,0,423499043986505729,5216,2014-06-02 12:05:45,success,100987369460727808,NULL
264,jschmidtnrdc,NULL,Political,0,NULL,0,423629156149391360,4226,2014-05-26 15:13:26,success,100577722270617601,NULL
265,Global__Warming,NULL,Independent,0,NULL,0,423515414069800960,4045,2014-06-02 13:00:53,success,283808658800930816,NULL
266,codeclimate,NULL,Political,0,NULL,0,423570821207326720,6505,2014-05-26 15:20:10,success,110912519513702402,NULL
267,alertnetclimate,NULL,News,0,NULL,0,423565423041609730,7148,2014-06-02 12:27:16,success,262894832199016448,NULL
268,ret_ward,NULL,Political,0,NULL,1,423750720643280897,6268,2014-05-26 13:15:00,active,209729379025174528,NULL
269,AfricaClimate,NULL,Independent,0,NULL,0,423151678439706624,4973,2014-06-02 12:48:19,success,380900345356222464,NULL
270,richardabetts,NULL,Researcher,0,NULL,0,423740506242154496,5454,2014-05-26 15:15:30,success,292049723370651648,NULL
271,climatesociety,NULL,Independent,0,NULL,0,423502220080852992,5211,2014-06-02 13:53:35,success,100568590847188993,NULL
272,PublicCitizenTX,NULL,Independent,0,NULL,0,423503043535974400,1404,2014-06-02 13:31:15,success,10022974358822913,NULL
273,Ecotwiters,NULL,Blog,0,NULL,0,412601886886600704,789,2014-05-26 15:05:12,success,100653301095350272,NULL
274,ClimateOfGavin,NULL,Independent,0,NULL,0,423584424895078400,5853,2014-06-02 12:19:16,success,292034835172687873,NULL
275,DanJWeiss,NULL,Researcher,0,NULL,0,423730696968884225,10828,2014-05-26 13:53:56,success,253885534009696256,NULL
276,EnvironmentIL,NULL,Political,0,NULL,0,423233919828627456,1197,2014-06-02 13:28:34,success,10489271592947713,NULL
277,EarthHourIndia,NULL,Blog,0,NULL,0,331740910494834688,1595,2014-05-26 13:24:21,active,100437578523754497,NULL
278,clim8connection,NULL,Independent,0,NULL,0,253103389964128256,2790,2014-05-26 14:37:08,success,100281154237763584,NULL
279,ClimateNL,NULL,News,0,NULL,0,423427026813730816,4410,2014-06-02 14:03:50,success,101559044845740032,NULL
280,Climate_Action_,NULL,Independent,0,NULL,0,422781903985319936,2200,2014-06-02 11:35:30,success,100937517339115520,NULL
281,Climate_Rescue,NULL,Independent,0,NULL,0,423727726412201984,5088,2014-06-02 13:49:13,success,200605801495269376,NULL
282,uscan,NULL,Independent,0,NULL,0,423560332909748225,5217,2014-05-26 14:39:13,success,100625360101720066,NULL
283,BumiTerluka,NULL,Independent,0,NULL,0,390415099640311808,84,2014-05-26 13:55:03,success,390116631117971457,NULL
284,Glbal_Warming,NULL,Blog,0,NULL,0,875147297,187,2014-05-26 14:16:41,success,833532726,NULL
285,NASA_NCCS,NULL,Political,0,NULL,0,423505820043583488,2873,2014-05-26 14:58:43,success,100314166925082624,NULL
286,alexlockwood,NULL,Blogger,0,NULL,0,423755385833816064,2405,2014-06-02 11:32:09,success,100124760075288576,NULL
287,JPvanYpersele,NULL,Political,0,NULL,0,423707616087658496,7968,2014-05-26 14:11:02,success,320494521077084161,NULL
288,EnergyClimateDE,NULL,Political,0,NULL,0,423558700167868416,7079,2014-05-26 13:19:42,active,342250329775165440,NULL
289,gogreen_id,NULL,Independent,0,NULL,0,412996012924350464,1200,2014-05-26 14:20:59,success,10009100729458688,NULL
