Id,screenname,userid,user_type,followers,description,active_status,since_id,count,last_access,last_status_desc,max_id,photo
290,ChiClimateCycle,NULL,Independent,0,NULL,0,423605673944182784,4611,2014-06-02 12:01:38,success,102096794468630529,NULL
291,GlobalWarmHoax,NULL,Skeptic,0,NULL,0,9173043912,245,2014-05-26 14:40:34,success,5307781605,NULL
292,Carbongate,NULL,Skeptic,0,NULL,0,423591413154975744,7539,2014-06-02 11:26:30,success,398863203163074560,NULL
293,globalwarmingt,NULL,News,0,NULL,0,423772501358161920,4166,2014-05-26 14:22:20,success,214462654805315586,NULL
294,climate_politix,NULL,Political,0,NULL,0,423670079943745536,9481,2014-05-26 13:35:16,success,145345590073638913,NULL
295,ClimateTimes,NULL,News,0,NULL,0,423489301960077312,1802,2014-05-26 14:51:25,success,313457053395992576,NULL
296,climate_rev,NULL,Independent,0,NULL,0,423785417054232576,4318,2014-06-02 12:47:34,success,284647935319371777,NULL
297,ClimateGuru,NULL,Blog,0,NULL,0,423661977337360384,3421,2014-05-26 15:19:58,success,101506688661721088,NULL
298,ICESCAPE2010,NULL,Political,0,NULL,0,27154371267534848,67,2014-05-26 14:26:55,success,15760132788,NULL
299,NewsClimate,NULL,News,0,NULL,0,423690922098819072,14148,2014-05-26 14:49:38,success,343750629614825473,NULL
300,climate__change,NULL,Independent,0,NULL,0,22698867003,976,2014-05-26 14:50:59,success,10019802725,NULL
301,1GlobalWarming,NULL,Blogger,0,NULL,0,12913544019,553,2014-05-26 15:01:06,success,10000059487,NULL
302,greens_climate,NULL,Independent,0,NULL,0,423468340741296129,3207,2014-05-26 15:18:50,success,108082892067966976,NULL
303,climatestrat,NULL,Independent,0,NULL,0,403821431915417600,425,2014-06-02 12:22:25,success,10345653855059968,NULL
304,EDFtx,NULL,Political,0,NULL,0,423627462153879552,6818,2014-05-26 14:11:34,success,100944805206556672,NULL
305,_Save_the_earth,NULL,Blog,0,NULL,0,222948710684954625,351,2014-05-26 15:05:04,success,222948710684954625,NULL
306,ThePlanetEarth,NULL,Blog,0,NULL,0,423756796822843392,4872,2014-05-26 15:22:16,check please,10716243821,NULL
307,globalwarm360,NULL,Independent,0,NULL,0,423063832701841408,406,2014-05-26 13:36:34,success,102211110379339776,NULL
308,envidoo,NULL,Independent,0,NULL,0,54610705994878976,429,2014-05-26 15:15:31,success,10214105835,NULL
309,climateaccess,NULL,Researcher,0,NULL,0,423575563102859264,2661,2014-05-26 14:43:30,success,126759013814763522,NULL
310,globalwarmtees,NULL,Independent,0,NULL,0,423560184938520576,2882,2014-05-26 14:38:32,success,183275300258455552,NULL
311,RandyO_HeadDodo,NULL,Independent,0,NULL,0,274563955937140736,700,2014-05-26 15:15:52,success,100989269727916032,NULL
312,ClimDevJournal,NULL,News,0,NULL,0,423771973521772544,1435,2014-06-02 14:06:51,success,169454441894920192,NULL
313,ClimateHotNews,NULL,News,0,NULL,0,423771849055797248,13983,2014-05-26 14:54:39,success,355441719245938690,NULL
314,climatepolitics,NULL,Political,0,NULL,0,387882527324520448,729,2014-05-26 14:00:01,success,10018909909,NULL
315,ClimateHaiku,NULL,Blog,0,NULL,0,11052430844,401,2014-06-02 11:11:57,success,11052430844,NULL
316,ClimateMadness,NULL,Skeptic,0,NULL,0,423663954355683328,4217,2014-05-26 14:31:22,success,100477855267438592,NULL
317,talkingclimates,NULL,Independent,0,NULL,0,421646490029658112,154,2014-05-26 14:58:49,success,162476239779672065,NULL
318,cgiarclimate_EA,NULL,Researcher,0,NULL,0,423772921023455232,4640,2014-06-02 12:16:28,success,250623356242653184,NULL
319,cooler_heads,NULL,Independent,0,NULL,0,422770134684798976,800,2014-06-02 11:12:17,success,10031928874,NULL
320,CampCymru09,NULL,Independent,0,NULL,0,21413333615,331,2014-05-26 14:52:46,success,10322501439,NULL
321,ClimateRescue,NULL,Independent,0,NULL,0,25421759627,431,2014-06-02 11:12:20,success,1039332194,NULL
322,climate_diplo,NULL,Political,0,NULL,0,409744729622851584,1998,2014-06-02 12:20:02,success,10008066204372992,NULL
323,YouthOnClimate,NULL,Independent,0,NULL,0,308955947613691904,3228,2014-06-02 11:18:28,success,133495803590352896,NULL
324,EINWarming,NULL,News,0,NULL,0,423757642473811969,10732,2014-06-02 13:39:25,success,321050541042065408,NULL
325,climatebloggers,NULL,Blog,0,NULL,0,422215895436378112,2800,2014-06-02 13:26:16,success,100216704478609408,NULL
326,FutureWeather,NULL,Independent,0,NULL,0,421717147724042240,1790,2014-06-02 14:02:57,success,100634359849160704,NULL
327,GregDunham75,NULL,Independent,0,NULL,0,423687249486569472,10032,2014-05-26 13:32:50,success,393079603725475840,NULL
328,GlobalClimate,NULL,Political,0,NULL,0,75579499269464064,793,2014-06-02 12:06:04,success,10021820659,NULL
329,isnocause4glee,NULL,Skeptic,0,NULL,0,320570869837598722,83,2014-06-02 12:10:40,success,116185442193383424,NULL
330,climateinteract,NULL,Blog,0,NULL,0,423522058212216833,1514,2014-05-26 14:11:28,success,10366049811701761,NULL
331,ClimateHoax,NULL,Skeptic,0,NULL,0,16605995115487232,247,2014-06-02 12:26:34,success,14440610063,NULL
332,fight_global_W,NULL,Independent,0,NULL,0,371925759822028800,393,2014-06-02 12:34:21,success,100051246211284993,NULL
333,ClimateParl,NULL,Independent,0,NULL,0,423496351197196288,4109,2014-06-02 12:13:52,success,103846291561385984,NULL
334,onglobalwarming,NULL,News,0,NULL,0,419211112253378560,979,2014-06-02 13:51:05,success,10049787898363904,NULL
335,IPCC_CH,NULL,Political,0,NULL,0,412973749143486465,512,2014-06-02 12:35:52,success,126637130553372672,NULL
336,carbonbrief,NULL,Blog,0,NULL,0,423752444401569792,5770,2014-06-02 12:08:46,success,362534515962421249,NULL
337,globalwarming,NULL,News,0,NULL,0,420280320538079232,887,2014-05-26 13:36:24,success,1001031446,NULL
338,climatechange,NULL,Blog,0,NULL,0,295640335009320960,1621,2014-06-02 11:37:32,success,1025867870,NULL
339,CBI_CC,NULL,Independent,0,NULL,0,423778701135077376,1802,2014-05-26 14:55:17,success,100931542951526401,NULL
343,WWF_Climate,NULL,Political,0,NULL,0,NULL,0,2014-06-02 12:37:36,success,NULL,NULL
345,Ed_Miliband,NULL,Political,0,NULL,0,423408835533893632,3005,2014-05-26 15:24:04,check please,100672810757783552,NULL
347,carolinelucas,NULL,Political,0,NULL,0,423723678703300608,8110,2014-06-02 13:16:19,success,214494487408422913,NULL
348,EPAgov,NULL,Political,0,NULL,0,408710573614854145,3,2014-06-02 11:08:36,success,357934740990468097,NULL
351,digg_enviro,NULL,Independent,0,NULL,0,NULL,0,2014-06-02 12:48:29,success,NULL,NULL
353,revkin,NULL,Independent,0,NULL,0,423606021329014784,6701,2014-05-26 13:51:12,success,342258676414947328,NULL
354,TheClimateDesk,NULL,Blog,0,NULL,0,155460778881843200,2,2014-06-02 13:11:06,success,155460778881843200,NULL
362,PollyHiggins,NULL,Independent,0,NULL,0,413725229198757888,986,2014-06-02 13:50:20,success,100503555848413184,NULL
363,frannyarmstrong,NULL,Independent,0,NULL,0,417616623588347904,799,2014-05-26 13:26:21,success,100954993246478336,NULL
369,planestupid,NULL,Independent,0,NULL,0,421331004549132289,752,2014-05-26 14:49:11,success,100142154646695937,NULL
370,OneClimate,NULL,News,0,NULL,0,324893600481685505,2,2014-06-02 13:30:57,success,324893600481685505,NULL
371,Climatecamp,NULL,Blog,0,NULL,0,423508091964248064,1596,2014-06-02 12:48:09,success,100136262278721536,NULL
378,GoodGuide,NULL,Blog,0,NULL,0,399597561876840448,1991,2014-05-26 13:53:40,success,100598539301822464,NULL
379,CTC_cyclists,NULL,Independent,0,NULL,0,423540979564417025,5087,2014-05-26 14:53:02,success,230698837029834752,NULL
382,TyndallCentre,NULL,Political,0,NULL,0,423454125637238784,2197,2014-05-26 14:17:43,success,10345954083344384,NULL
385,Arcticsurvey,NULL,Independent,0,NULL,0,155710855223320576,444,2014-06-02 13:39:40,success,101363796068663296,NULL
386,UNEPandYou,NULL,Political,0,NULL,0,NULL,0,2014-06-02 13:38:39,success,NULL,NULL
388,hopenhagen,NULL,Independent,0,NULL,0,132555487060303873,424,2014-05-26 13:35:14,success,10031737518161920,NULL
389,BraveNewClimate,NULL,Environmentalist,0,NULL,0,423627435888742402,5022,2014-06-02 12:16:34,success,179089207317377025,NULL
390,ClimateChangeFx,NULL,Blog,0,NULL,0,382913956991340544,542,2014-05-26 13:37:58,success,10470453320,NULL
391,jamesdelingpole,NULL,Blog,0,NULL,0,423517938214506496,6678,2014-06-02 12:36:57,success,349811347355222017,NULL
392,ClimateRealists,NULL,Skeptic,0,NULL,0,423739250941911040,10620,2014-05-26 14:22:24,success,365172732981686272,NULL
393,InhofePress,NULL,News,0,NULL,0,423494808460484609,3824,2014-06-02 13:19:43,success,101081856123994112,NULL
493,NOAAClimate,NULL,Political,0,NULL,0,423504528529305600,810,2014-06-02 12:15:36,success,222722633815429121,NULL
498,NASA,NULL,Political,0,NULL,0,423772889100210177,9733,2014-05-26 13:58:23,success,420902364280008704,NULL
499,NOAA,NULL,Political,0,NULL,0,423525554802135040,3243,2014-05-26 15:11:46,success,200285487041228800,NULL
501,CICERO_klima,NULL,Researcher,0,NULL,0,NULL,9689,2014-05-26 13:48:45,success,420492898497359873,NULL
502,WCRP_Cordex,NULL,Researcher,0,NULL,0,NULL,483,2014-06-02 11:49:12,success,NULL,NULL
504,secgen,NULL,Political,0,NULL,0,99494876785291264,6000,2014-06-02 14:04:08,success,NULL,NULL
505,UNGeneva,NULL,Political,0,NULL,0,423739999016595456,3429,2014-05-26 14:03:51,success,362196290932715520,NULL
507,unredd,NULL,Political,0,NULL,0,99445333561577473,1278,2014-05-26 13:31:44,success,101583298307964928,NULL
508,CambridgeUP_NY,NULL,News,0,NULL,0,9977936038,7797,2014-06-02 12:26:14,success,NULL,NULL
509,CambUP_earthsci,NULL,News,0,NULL,0,NULL,3033,2014-06-02 11:31:32,success,421404185113141249,NULL
510,enbclimate,NULL,Independent,0,NULL,0,86806758722502656,3600,2014-06-02 11:07:10,success,144052791332175873,NULL
511,SustDev,NULL,Blog,0,NULL,0,423177011734269952,3536,2014-06-02 11:31:26,success,100657920580136960,NULL
512,RGS_IBG,NULL,Political,0,NULL,0,99070758084546560,5991,2014-06-02 11:34:34,success,NULL,NULL
513,climasphere,NULL,Blog,0,NULL,0,423628660008947713,712,2014-05-26 15:10:33,success,378332237244416001,NULL
514,ASCOA,NULL,Independent,0,NULL,0,423596723320008704,6442,2014-06-02 11:12:32,success,321259634423894016,NULL
515,GuignardPH,NULL,Independent,0,NULL,0,423582501785706496,469,2014-06-02 11:16:05,success,182958931537170432,NULL
516,EnergyFactCheck,NULL,Blog,0,NULL,0,423496665924792322,6282,2014-06-02 12:56:57,success,420319012547854336,NULL
517,johnffarrell,NULL,Political,0,NULL,0,NULL,7188,2014-05-26 13:45:57,success,420227979650682880,NULL
518,MindyLubber,NULL,Political,0,NULL,0,422823410956124160,283,2014-06-02 14:01:44,success,175302616908181504,NULL
519,perucop20,NULL,Political,0,NULL,0,419127434295148544,146,2014-05-26 13:25:56,success,NULL,NULL
520,MSchroeren,NULL,Independent,0,NULL,0,99777743973126144,9585,2014-06-02 13:07:46,success,NULL,NULL
521,AAR0NPickering,NULL,Blogger,0,NULL,0,NULL,132,2014-05-26 14:56:31,success,422758237574672385,NULL
522,Lagarde,NULL,Political,0,NULL,0,97056426643566592,927,2014-06-02 13:14:20,success,106405046454984704,NULL
523,CeresNews,NULL,News,0,NULL,0,423580818486099968,2800,2014-06-02 11:43:38,success,10011793061580800,NULL
524,WIPO,NULL,Researcher,0,NULL,0,423551547449290753,2402,2014-05-26 14:53:28,success,182119196329648128,NULL
525,ECFTim,NULL,Political,0,NULL,0,NULL,828,2014-05-26 14:53:20,success,422772794871410688,NULL
526,AbydKarmali1967,NULL,Blogger,0,NULL,0,423573968290082816,1962,2014-05-26 14:27:26,success,421431472424513536,NULL
528,giovanagirardi,NULL,News,0,NULL,0,99554361486753792,995,2014-05-26 13:23:30,active,100646082404548609,NULL
529,josebove,NULL,Independent,0,NULL,0,NULL,2491,2014-05-26 14:59:45,success,422693016370184192,NULL
530,UNFCCCDocuments,NULL,Political,0,NULL,0,NULL,483,2014-05-26 14:59:35,success,NULL,NULL
531,BloombergCities,NULL,Independent,0,NULL,0,423765436661235712,967,2014-05-26 15:06:20,success,396207689812172800,NULL
532,greenlogical,NULL,Political,0,NULL,0,423164117390594048,232,2014-05-26 13:33:33,success,423164117390594048,NULL
533,ipcc_news,NULL,Political,0,NULL,0,423464604077801472,213,2014-06-02 12:30:00,success,374854625850974209,NULL
534,ghgprotocol,NULL,Researcher,0,NULL,0,NULL,654,2014-05-26 13:58:22,success,NULL,NULL
535,ghginstitute,NULL,Researcher,0,NULL,0,423171908658425856,409,2014-05-26 14:15:20,success,10591228380,NULL
536,GHG_,NULL,Researcher,0,NULL,0,NULL,81,2014-06-02 11:13:59,success,NULL,NULL
537,sierraclub,NULL,Independent,0,NULL,0,NULL,9747,2014-05-26 15:01:54,success,420239705956184064,NULL
538,danmiller999,NULL,Blog,0,NULL,0,NULL,534,2014-06-02 13:32:59,success,NULL,NULL
539,CarbonBubble,NULL,Independent,0,NULL,0,98400659606487041,1985,2014-05-26 14:07:18,success,100543155023261696,NULL
540,pilitaclark,NULL,News,0,NULL,0,419060857402716160,210,2014-06-02 13:31:30,success,10817594376,NULL
541,IEA,NULL,Political,0,NULL,0,NULL,9762,2014-05-26 14:15:27,success,420600787715112961,NULL
542,JunkScience,NULL,Skeptic,0,NULL,0,NULL,9738,2014-06-02 12:34:20,success,421321545621843969,NULL
543,CatoMichaels,NULL,Environmentalist,0,NULL,0,423123613735084032,408,2014-06-02 12:07:12,success,423123613735084032,NULL
544,CoalNewsBlog,NULL,News,0,NULL,0,423718428596523008,3459,2014-05-26 14:48:54,success,366925789951836161,NULL
545,CleanAirPolicy,NULL,Political,0,NULL,0,9992510092877824,2400,2014-05-26 13:51:43,success,11036570042,NULL
546,PotomacRiver,NULL,Political,0,NULL,0,413062212232572928,3239,2014-05-26 15:03:02,success,208588006913875970,NULL
547,indiaghgp,NULL,Independent,0,NULL,0,423146366890553344,38,2014-06-02 12:40:10,success,421650524446814208,NULL
548,qz,NULL,News,0,NULL,0,NULL,9729,2014-06-02 11:48:38,success,420268459344138240,NULL
549,Greenversations,NULL,Independent,0,NULL,0,423469797171412993,2600,2014-05-26 14:52:12,success,100635602327834624,NULL
550,ENERGY,NULL,Political,0,NULL,0,NULL,9747,2014-05-26 14:02:23,success,422759222334746624,NULL
552,newscientist,NULL,News,0,NULL,0,423711975970197504,3661,2014-06-02 13:23:37,success,306817161559683072,NULL
553,ESRC,NULL,Political,0,NULL,0,423763031274061824,6686,2014-06-02 13:59:43,success,299861911372197890,NULL
554,lwec_uk,NULL,Independent,0,NULL,0,NULL,2355,2014-06-02 13:36:28,success,NULL,NULL
555,CCCEP,NULL,Political,0,NULL,0,423170276281819136,1146,2014-06-02 13:33:59,success,101690250841161730,NULL
556,RealClimate,NULL,News,0,NULL,0,99240900454129664,768,2014-05-26 14:52:59,success,10000467449,NULL
557,UNFCCCwebcast,NULL,Political,0,NULL,0,81798860732776448,6600,2014-06-02 11:35:02,success,NULL,NULL
563,PRI_news,NULL,News,0,NULL,0,423755306787954688,866,2014-05-26 13:40:52,success,422770314700152832,NULL
564,ClimateCoLab,NULL,Researcher,0,NULL,0,423559131543633920,3246,2014-06-02 11:53:04,success,237595856147210240,NULL
